bizym,transdate,num_hosp,qty
202301,2023-01-01,16,1420.0
202301,2023-01-02,34,4169.0
202301,2023-01-03,202,28734.0033
202301,2023-01-04,163,22709.0
202301,2023-01-05,138,46337.0
202301,2023-01-06,149,35503.0
202301,2023-01-07,43,6042.0
202301,2023-01-08,66,7651.0
202301,2023-01-09,705,228508.0
202301,2023-01-10,752,248830.1667
202301,2023-01-11,600,141151.2917
202301,2023-01-12,576,108892.4167
202301,2023-01-13,463,88972.0
202301,2023-01-14,63,7386.0
202301,2023-01-15,53,11478.0
202301,2023-01-16,635,138475.0
202301,2023-01-17,443,95256.1667
202301,2023-01-18,358,87186.0
202301,2023-01-19,204,48043.0
202301,2023-01-20,28,4711.0
202301,2023-01-21,8,1371.0
202301,2023-01-22,3,7.0
202301,2023-01-23,4,330.0
202301,2023-01-24,11,1342.0
202301,2023-01-25,12,507.0
202301,2023-01-26,19,3887.0
202301,2023-01-27,15,4676.0
202301,2023-01-28,210,33209.0
202301,2023-01-29,205,23537.2917
202301,2023-01-30,249,38623.0
202301,2023-01-31,252,33135.0
202302,2023-02-01,448,50843.0
202302,2023-02-02,466,51820.0
202302,2023-02-03,296,38097.0
202302,2023-02-04,22,1363.0
202302,2023-02-05,16,2059.0
202302,2023-02-06,620,98968.0
202302,2023-02-07,395,60530.0
202302,2023-02-08,321,57592.0
202302,2023-02-09,382,50128.0
202302,2023-02-10,246,42566.2917
202302,2023-02-11,18,430.0
202302,2023-02-12,12,541.0
202302,2023-02-13,580,98840.0833
202302,2023-02-14,406,66956.0
202302,2023-02-15,310,65187.0
202302,2023-02-16,370,57155.0
202302,2023-02-17,230,35835.0
202302,2023-02-18,13,756.0
202302,2023-02-19,16,1237.0
202302,2023-02-20,632,99119.0
202302,2023-02-21,443,60867.0
202302,2023-02-22,299,42858.0
202302,2023-02-23,344,58138.0
202302,2023-02-24,245,56409.0
202302,2023-02-25,20,825.0
202302,2023-02-26,21,336.0
202302,2023-02-27,596,96483.0
202302,2023-02-28,396,71597.0
202303,2023-03-01,472,98243.0
202303,2023-03-02,398,73609.0
202303,2023-03-03,227,37428.0
202303,2023-03-04,19,957.0
202303,2023-03-05,16,804.0
202303,2023-03-06,715,134349.0
202303,2023-03-07,436,72759.0
202303,2023-03-08,318,56357.0
202303,2023-03-09,391,70238.0
202303,2023-03-10,256,51247.0
202303,2023-03-11,19,1103.0
202303,2023-03-12,19,1591.0
202303,2023-03-13,657,108941.0
202303,2023-03-14,484,90401.0
202303,2023-03-15,396,61796.0
202303,2023-03-16,375,54656.0
202303,2023-03-17,257,41074.0
202303,2023-03-18,18,1248.0
202303,2023-03-19,17,4350.0
202303,2023-03-20,670,109688.0
202303,2023-03-21,446,65024.0
202303,2023-03-22,353,56112.0
202303,2023-03-23,353,62395.0
202303,2023-03-24,260,63506.0
202303,2023-03-25,22,2282.0
202303,2023-03-26,20,407.0
202303,2023-03-27,611,105516.0
202303,2023-03-28,455,84936.0
202303,2023-03-29,330,75798.0
202303,2023-03-30,326,99349.0
202303,2023-03-31,250,87254.0
202304,2023-04-01,36,3698.0
202304,2023-04-02,18,1538.0
202304,2023-04-03,644,116423.0
202304,2023-04-04,370,57567.0
202304,2023-04-05,23,1579.0
202304,2023-04-06,364,51003.0
202304,2023-04-07,299,80803.0
202304,2023-04-08,19,1569.0
202304,2023-04-09,11,536.0
202304,2023-04-10,770,135101.0
202304,2023-04-11,552,98257.0
202304,2023-04-12,392,73857.0
202304,2023-04-13,407,64073.0
202304,2023-04-14,287,51506.0
202304,2023-04-15,33,2223.0
202304,2023-04-16,20,2750.0
202304,2023-04-17,766,118013.0
202304,2023-04-18,497,85505.0
202304,2023-04-19,370,48545.0
202304,2023-04-20,387,61377.0
202304,2023-04-21,268,42290.0
202304,2023-04-22,21,1748.0
202304,2023-04-23,304,49806.0
202304,2023-04-24,693,117849.0
202304,2023-04-25,476,88729.0
202304,2023-04-26,482,82498.0
202304,2023-04-27,388,76808.0
202304,2023-04-28,192,29699.0
202304,2023-04-29,5,224.0
202304,2023-04-30,5,138.0
202305,2023-05-01,7,2265.0
202305,2023-05-02,48,10483.0
202305,2023-05-03,46,8151.0
202305,2023-05-04,536,80931.0
202305,2023-05-05,278,38512.0
202305,2023-05-06,160,22956.0
202305,2023-05-07,9,173.0
202305,2023-05-08,598,129944.0
202305,2023-05-09,445,97675.0
202305,2023-05-10,461,111583.0
202305,2023-05-11,439,95055.0
202305,2023-05-12,300,66871.0
202305,2023-05-13,11,832.0
202305,2023-05-14,7,380.0
202305,2023-05-15,690,143061.0
202305,2023-05-16,420,76718.0
202305,2023-05-17,351,66682.0
202305,2023-05-18,343,55429.0
202305,2023-05-19,233,42376.0
202305,2023-05-20,26,697.0
202305,2023-05-21,9,161.0
202305,2023-05-22,573,101317.0
202305,2023-05-23,500,63343.0
202305,2023-05-24,354,57486.0
202305,2023-05-25,317,46017.0
202305,2023-05-26,250,41447.0
202305,2023-05-27,10,807.0
202305,2023-05-28,15,971.0
202305,2023-05-29,494,88081.0
202305,2023-05-30,321,51551.0
202305,2023-05-31,261,56389.0
202306,2023-06-01,393,68801.0
202306,2023-06-02,214,28005.0
202306,2023-06-03,18,2198.0
202306,2023-06-04,14,1579.0
202306,2023-06-05,531,87464.0
202306,2023-06-06,492,140291.0
202306,2023-06-07,448,81309.0
202306,2023-06-08,497,114465.0
202306,2023-06-09,260,47505.0
202306,2023-06-10,26,2253.0
202306,2023-06-11,9,536.0
202306,2023-06-12,722,116145.0
202306,2023-06-13,474,74024.0
202306,2023-06-14,352,54321.0
202306,2023-06-15,359,57403.0
202306,2023-06-16,352,69354.0
202306,2023-06-17,21,1113.0
202306,2023-06-18,21,654.0
202306,2023-06-19,719,126000.0
202306,2023-06-20,524,79919.0
202306,2023-06-21,307,54238.0
202306,2023-06-22,5,1511.0
202306,2023-06-23,34,3019.0
202306,2023-06-24,15,522.0
202306,2023-06-25,452,69105.0
202306,2023-06-26,657,107333.0
202306,2023-06-27,443,82634.0
202306,2023-06-28,359,77726.0
202306,2023-06-29,381,87384.0
202306,2023-06-30,293,97839.0
202307,2023-07-01,22,4134.0
202307,2023-07-02,19,1824.0
202307,2023-07-03,628,86784.0
202307,2023-07-04,404,53409.0
202307,2023-07-05,248,49263.0
202307,2023-07-06,399,80284.0
202307,2023-07-07,408,97981.0
202307,2023-07-08,29,3256.0
202307,2023-07-09,16,1399.0
202307,2023-07-10,795,147865.0
202307,2023-07-11,500,84671.0
202307,2023-07-12,391,67921.0
202307,2023-07-13,410,72278.0
202307,2023-07-14,317,59152.0
202307,2023-07-15,17,438.0
202307,2023-07-16,24,2010.0
202307,2023-07-17,689,107580.0
202307,2023-07-18,509,90256.0
202307,2023-07-19,354,70576.0
202307,2023-07-20,365,65172.0
202307,2023-07-21,323,53102.0
202307,2023-07-22,16,1669.0
202307,2023-07-23,12,590.0
202307,2023-07-24,745,112182.0
202307,2023-07-25,487,84221.0
202307,2023-07-26,349,57548.0
202307,2023-07-27,411,65645.0
202307,2023-07-28,257,55740.0
202307,2023-07-29,21,1024.0
202307,2023-07-30,15,2341.0
202307,2023-07-31,514,104017.0
202308,2023-08-01,612,113227.0
202308,2023-08-02,330,57155.0
202308,2023-08-03,308,58487.0
202308,2023-08-04,252,57743.0
202308,2023-08-05,22,648.0
202308,2023-08-06,9,503.0
202308,2023-08-07,804,151145.0
202308,2023-08-08,444,76339.0
202308,2023-08-09,397,79674.0
202308,2023-08-10,503,91343.0
202308,2023-08-11,293,52547.0
202308,2023-08-12,17,1125.0
202308,2023-08-13,12,2240.0
202308,2023-08-14,808,157630.0
202308,2023-08-15,557,91739.0
202308,2023-08-16,366,61721.0
202308,2023-08-17,420,68806.0
202308,2023-08-18,276,50458.0
202308,2023-08-19,24,1527.0
202308,2023-08-20,10,1791.0
202308,2023-08-21,729,111659.0
202308,2023-08-22,412,68818.0
202308,2023-08-23,375,62559.0
202308,2023-08-24,421,64045.0
202308,2023-08-25,278,52007.0
202308,2023-08-26,18,944.0
202308,2023-08-27,14,1324.0
202308,2023-08-28,741,127406.7083
202308,2023-08-29,469,75593.0
202308,2023-08-30,260,55373.0
202308,2023-08-31,289,58495.0
202309,2023-09-01,296,53273.0
202309,2023-09-02,20,564.0
202309,2023-09-03,7,115.0
202309,2023-09-04,404,61624.0
202309,2023-09-05,382,99007.0
202309,2023-09-06,251,62920.0
202309,2023-09-07,615,191420.0
202309,2023-09-08,569,139025.0
202309,2023-09-09,21,1458.0
202309,2023-09-10,26,2834.0
202309,2023-09-11,856,168169.0
202309,2023-09-12,678,124766.0
202309,2023-09-13,450,84151.0
202309,2023-09-14,526,112058.0
202309,2023-09-15,418,86747.0
202309,2023-09-16,24,894.0
202309,2023-09-17,9,207.0
202309,2023-09-18,715,120371.0
202309,2023-09-19,470,107066.0
202309,2023-09-20,392,81297.0
202309,2023-09-21,398,94211.0
202309,2023-09-22,360,81676.0
202309,2023-09-23,13,1267.0
202309,2023-09-24,14,642.0
202309,2023-09-25,649,130120.0
202309,2023-09-26,499,108495.0
202309,2023-09-27,378,61077.0
202309,2023-09-28,204,37047.0
202309,2023-09-29,2,245.0
202309,2023-09-30,3,20.0
202310,2023-10-01,4,829.0
202310,2023-10-02,3,298.0
202310,2023-10-03,5,1215.0
202310,2023-10-04,11,2007.0
202310,2023-10-05,12,4046.0
202310,2023-10-06,14,4059.0
202310,2023-10-07,278,34449.0
202310,2023-10-08,181,21851.0
202310,2023-10-09,233,56917.0
202310,2023-10-10,539,138392.0
202310,2023-10-11,858,230156.0
202310,2023-10-12,631,129090.0
202310,2023-10-13,460,88616.0
202310,2023-10-14,26,4083.0
202310,2023-10-15,28,4193.0
202310,2023-10-16,831,155091.0
202310,2023-10-17,630,112132.0
202310,2023-10-18,457,82387.0
202310,2023-10-19,377,66084.0
202310,2023-10-20,310,69973.0
202310,2023-10-21,15,349.0
202310,2023-10-22,20,743.0
202310,2023-10-23,654,117770.0
202310,2023-10-24,479,82614.0
202310,2023-10-25,383,69131.0
202310,2023-10-26,367,55919.0
202310,2023-10-27,310,58988.0
202310,2023-10-28,14,574.0
202310,2023-10-29,18,2262.0
202310,2023-10-30,429,66394.0
202310,2023-10-31,300,49092.0
202311,2023-11-01,241,47740.0
202311,2023-11-02,153,23963.0
202311,2023-11-03,197,53382.0
202311,2023-11-04,19,503.0
202311,2023-11-05,10,346.0
202311,2023-11-06,757,228989.0
202311,2023-11-07,744,167795.0
202311,2023-11-08,627,202332.0
202311,2023-11-09,504,91766.0
202311,2023-11-10,350,69187.0
202311,2023-11-11,9,840.0
202311,2023-11-12,16,3046.0
202311,2023-11-13,736,104682.0
202311,2023-11-14,602,133295.0
202311,2023-11-15,412,66258.0
202311,2023-11-16,382,62803.0
202311,2023-11-17,219,45119.0
202311,2023-11-18,19,1205.0
202311,2023-11-19,5,2068.0
202311,2023-11-20,632,149141.0
202311,2023-11-21,475,78691.0
202311,2023-11-22,436,79508.0
202311,2023-11-23,276,54378.0
202311,2023-11-24,247,42346.0
202311,2023-11-25,11,480.0
202311,2023-11-26,13,454.0
202311,2023-11-27,445,63536.0
202311,2023-11-28,337,53616.0
202311,2023-11-29,172,24474.0
202311,2023-11-30,199,37461.0
202312,2023-12-01,214,38801.0
