bizym,transdate,num_hosp,qty,taxamt,avg_price
202201,2022-01-01,10,2793.000000,109559.06000000,1.5
202201,2022-01-02,12,4633.000000,175531.60000000,1.5
202201,2022-01-03,69,15154.000000,588252.11000000,1.5
202201,2022-01-04,460,76524.331700,2917746.83096100,1.5
202201,2022-01-05,316,47902.541700,1824829.74761900,1.5
202201,2022-01-06,397,89947.000000,3385188.05274000,1.5
202201,2022-01-07,380,95147.541700,3665168.29761900,1.5
202201,2022-01-08,71,18009.000000,683232.30000000,1.5
202201,2022-01-09,15,348.000000,13698.63000000,1.5
202201,2022-01-10,686,135945.000000,5192364.25000000,1.5
202201,2022-01-11,554,102974.000000,3966002.12000000,1.5
202201,2022-01-12,428,95396.000000,3549788.59000000,1.5
202201,2022-01-13,454,81338.795000,2991993.67321200,1.5
202201,2022-01-14,269,47623.000000,1805721.99273900,1.5
202201,2022-01-15,36,6361.000000,240980.18000200,1.5
202201,2022-01-16,13,1841.000000,69844.90000000,1.5
202201,2022-01-17,642,119099.708300,4573015.75882100,1.5
202201,2022-01-18,515,90903.000000,3440330.98284900,1.5
202201,2022-01-19,417,79360.091600,3029540.99318200,1.5
202201,2022-01-20,392,68337.000000,2470955.04800000,1.5
202201,2022-01-21,341,57405.499900,2056979.74089300,1.5
202201,2022-01-22,25,1428.000000,44413.71000000,1.5
202201,2022-01-23,11,666.000000,26098.08000000,1.5
202201,2022-01-24,616,104290.000000,3974727.97000000,1.5
202201,2022-01-25,434,82896.000000,3172446.59000000,1.5
202201,2022-01-26,304,60154.000000,2300135.39000000,1.5
202201,2022-01-27,268,49422.500000,1889523.98809600,1.5
202201,2022-01-28,143,24684.800000,950372.54600000,1.5
202201,2022-01-29,66,9658.625000,372233.64875000,1.5
202201,2022-01-30,36,13456.000000,526044.12000000,1.5
202201,2022-01-31,4,44.000000,1846.44000000,1.5
202202,2022-02-01,1,0.000000,0E-8,1.5
202202,2022-02-03,6,1085.000000,44056.24000000,1.5
202202,2022-02-04,12,3909.000000,149391.10000000,1.5
202202,2022-02-05,4,580.000000,22512.00000000,1.5
202202,2022-02-06,11,2422.000000,93112.89000000,1.5
202202,2022-02-07,371,67175.000000,2572008.50000000,1.5
202202,2022-02-08,286,42151.000000,1561969.89000000,1.5
202202,2022-02-09,237,43574.830000,1656350.53810000,1.5
