variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct,baseline_mean_mape_pct,mape_improvement_pct_point
baseline,valid,overall,248,12,7.422426334882697,6.626754530254489,7.422426334882697,0.0
baseline,valid,jan_feb,38,2,5.579106495134633,3.569002011098118,5.579106495134633,0.0
baseline,valid,spring_festival_month,38,2,5.579106495134633,3.569002011098118,5.579106495134633,0.0
baseline,valid,high_nonworkday_month,56,3,6.911400540892886,7.236406684860037,6.911400540892886,0.0
baseline,valid,wd1_5,60,12,8.084677485972055,7.34351037544413,8.084677485972055,0.0
baseline,valid,wd1_10,120,12,7.980121732260401,7.028114978236928,7.980121732260401,0.0
baseline,valid,jan_feb_wd1_10,20,2,7.077448985808353,3.5048932392182444,7.077448985808353,0.0
baseline,valid,spring_wd1_10,20,2,7.077448985808353,3.5048932392182444,7.077448985808353,0.0
baseline,test,overall,80,4,14.940562347198343,12.746575046595964,14.940562347198343,0.0
baseline,test,jan_feb,37,2,13.47682153288237,12.787245890825687,13.47682153288237,0.0
baseline,test,spring_festival_month,16,1,10.714613015252883,10.77440457466415,10.714613015252883,0.0
baseline,test,high_nonworkday_month,16,1,10.714613015252883,10.77440457466415,10.714613015252883,0.0
baseline,test,wd1_5,20,4,15.361996498625825,14.663759100926727,15.361996498625825,0.0
baseline,test,wd1_10,40,4,15.357152044390187,14.663759100926727,15.357152044390187,0.0
baseline,test,jan_feb_wd1_10,20,2,13.710941647755709,14.056966817112794,13.710941647755709,0.0
baseline,test,spring_wd1_10,10,1,10.53208971624915,10.810449012309887,10.53208971624915,0.0
calendar_all,valid,overall,248,12,7.2616925799911565,6.432302116832887,7.422426334882697,0.16073375489154085
calendar_all,valid,jan_feb,38,2,5.726463836826375,6.443538969616459,5.579106495134633,-0.14735734169174197
calendar_all,valid,spring_festival_month,38,2,5.726463836826375,6.443538969616459,5.579106495134633,-0.14735734169174197
calendar_all,valid,high_nonworkday_month,56,3,5.663078786221699,6.434988289549526,6.911400540892886,1.2483217546711867
calendar_all,valid,wd1_5,60,12,7.704133029866337,6.300244694912514,8.084677485972055,0.3805444561057181
calendar_all,valid,wd1_10,120,12,7.729604371718771,6.594878660454231,7.980121732260401,0.25051736054163065
calendar_all,valid,jan_feb_wd1_10,20,2,7.791483153422344,6.683161626225927,7.077448985808353,-0.714034167613991
calendar_all,valid,spring_wd1_10,20,2,7.791483153422344,6.683161626225927,7.077448985808353,-0.714034167613991
calendar_all,test,overall,80,4,13.102896691853164,11.545715018177741,14.940562347198343,1.8376656553451785
calendar_all,test,jan_feb,37,2,12.234920636248901,11.704898517442842,13.47682153288237,1.241900896633469
calendar_all,test,spring_festival_month,16,1,9.168533968617098,8.831197126932544,10.714613015252883,1.5460790466357857
calendar_all,test,high_nonworkday_month,16,1,9.168533968617098,8.831197126932544,10.714613015252883,1.5460790466357857
calendar_all,test,wd1_5,20,4,13.004862933931218,12.159791027883749,15.361996498625825,2.3571335646946068
